latent_id,max_act,mean_act,top_images,top_values
1047,7.044582366943359,1.6740622520446777,"['top_activations_live/img_2900.png', 'top_activations_live/img_3356.png', 'top_activations_live/img_5376.png', 'top_activations_live/img_4275.png', 'top_activations_live/img_652.png', 'top_activations_live/img_3509.png', 'top_activations_live/img_6537.png', 'top_activations_live/img_1105.png']","[7.044582366943359, 6.918040752410889, 6.690362930297852, 6.540661334991455, 6.490723609924316, 6.4858808517456055, 6.448462009429932, 6.440703392028809]"
1066,9.534256935119629,1.7198699712753296,"['top_activations_live/img_3909.png', 'top_activations_live/img_4956.png', 'top_activations_live/img_6253.png', 'top_activations_live/img_3808.png', 'top_activations_live/img_1239.png', 'top_activations_live/img_9414.png', 'top_activations_live/img_2207.png', 'top_activations_live/img_7781.png']","[9.534256935119629, 9.244359970092773, 8.884124755859375, 8.84642505645752, 8.571414947509766, 8.35462760925293, 8.282373428344727, 8.203829765319824]"
1078,3.2945330142974854,0.010055874474346638,"['top_activations_live/img_9824.png', 'top_activations_live/img_2601.png', 'top_activations_live/img_4025.png', 'top_activations_live/img_1238.png', 'top_activations_live/img_7572.png', 'top_activations_live/img_8449.png', 'top_activations_live/img_7324.png', 'top_activations_live/img_1134.png']","[3.2945330142974854, 3.1711573600769043, 2.8100152015686035, 2.5948047637939453, 2.51938796043396, 2.420332193374634, 2.2296364307403564, 2.2178077697753906]"
1082,0.5722385048866272,5.722384958062321e-05,"['top_activations_live/img_2388.png', 'top_activations_live/img_1.png', 'top_activations_live/img_7.png', 'top_activations_live/img_4.png', 'top_activations_live/img_3.png', 'top_activations_live/img_5.png', 'top_activations_live/img_0.png', 'top_activations_live/img_2.png']","[0.5722385048866272, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1094,5.047692775726318,0.5266270637512207,"['top_activations_live/img_7754.png', 'top_activations_live/img_3557.png', 'top_activations_live/img_9692.png', 'top_activations_live/img_727.png', 'top_activations_live/img_5832.png', 'top_activations_live/img_3275.png', 'top_activations_live/img_7939.png', 'top_activations_live/img_4335.png']","[5.047692775726318, 4.912217140197754, 4.8160271644592285, 4.7870378494262695, 4.298700332641602, 4.217315673828125, 4.115092754364014, 4.043721675872803]"
1118,6.995661735534668,0.6004520058631897,"['top_activations_live/img_3587.png', 'top_activations_live/img_692.png', 'top_activations_live/img_2464.png', 'top_activations_live/img_7821.png', 'top_activations_live/img_1165.png', 'top_activations_live/img_4793.png', 'top_activations_live/img_2774.png', 'top_activations_live/img_7040.png']","[6.995661735534668, 6.472116470336914, 6.394827365875244, 6.305657863616943, 6.1733269691467285, 6.107966899871826, 5.936584949493408, 5.807468891143799]"
1167,4.513284683227539,0.14203457534313202,"['top_activations_live/img_3678.png', 'top_activations_live/img_7236.png', 'top_activations_live/img_6.png', 'top_activations_live/img_1591.png', 'top_activations_live/img_2819.png', 'top_activations_live/img_7359.png', 'top_activations_live/img_6581.png', 'top_activations_live/img_7276.png']","[4.513284683227539, 4.377444744110107, 4.267765998840332, 4.156800746917725, 4.147096633911133, 3.875795364379883, 3.8517508506774902, 3.7792000770568848]"
1224,0.7149562835693359,7.149562588892877e-05,"['top_activations_live/img_883.png', 'top_activations_live/img_1.png', 'top_activations_live/img_7.png', 'top_activations_live/img_4.png', 'top_activations_live/img_3.png', 'top_activations_live/img_5.png', 'top_activations_live/img_0.png', 'top_activations_live/img_2.png']","[0.7149562835693359, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1251,3.671938180923462,0.03576519340276718,"['top_activations_live/img_4161.png', 'top_activations_live/img_2708.png', 'top_activations_live/img_9801.png', 'top_activations_live/img_5421.png', 'top_activations_live/img_4151.png', 'top_activations_live/img_7896.png', 'top_activations_live/img_5676.png', 'top_activations_live/img_746.png']","[3.671938180923462, 3.4730472564697266, 3.046175003051758, 3.0226197242736816, 2.7905426025390625, 2.642428398132324, 2.638996124267578, 2.545588254928589]"
1254,11.689956665039062,6.310163497924805,"['top_activations_live/img_7453.png', 'top_activations_live/img_9726.png', 'top_activations_live/img_4709.png', 'top_activations_live/img_750.png', 'top_activations_live/img_1265.png', 'top_activations_live/img_9518.png', 'top_activations_live/img_1507.png', 'top_activations_live/img_2571.png']","[11.689956665039062, 11.665635108947754, 11.660665512084961, 11.47961139678955, 11.277984619140625, 10.931463241577148, 10.917620658874512, 10.894502639770508]"
